fecha_datos,isla,municipio,poblacion,cv19_total_casos,cv19_fallecidos,cv19_curados,cv19_activos
14/03/2022,TENERIFE,Garachico,4871,114,1,104,9
14/03/2022,LANZAROTE,Arrecife,62988,14598,57,14368,262
14/03/2022,TENERIFE,La Orotava,42029,3765,8,3511,267
14/03/2022,TENERIFE,La Matanza de Acentejo,9061,608,1,574,38
14/03/2022,TENERIFE,Santiago del Teide,11111,557,1,532,26
14/03/2022,TENERIFE,San juan de La Rambla,4828,318,1,301,16
14/03/2022,LANZAROTE,Tías,20170,1458,2,1443,18
14/03/2022,TENERIFE,Arico,7988,400,,384,25
14/03/2022,LA GOMERA,Valle Gran Rey,4564,219,,194,25
14/03/2022,GRAN CANARIA,Mogán,20072,1580,1,1519,66
14/03/2022,GRAN CANARIA,Vega de San Mateo,7556,421,1,402,18
14/03/2022,FUERTEVENTURA,Antigua,12461,44,,42,2
14/03/2022,TENERIFE,Los Realejos,36402,3167,2,2934,257
14/03/2022,LANZAROTE,San Bartolomé,18816,644,,633,11
14/03/2022,LA PALMA,Tijarafe,2532,79,,76,3
14/03/2022,TENERIFE,Icod de Los Vinos,23254,1947,5,1835,116
14/03/2022,LANZAROTE,Yaiza,16571,1010,,988,26
14/03/2022,LA PALMA,Los Llanos de Aridane,20467,938,2,903,45
14/03/2022,GRAN CANARIA,Ingenio,31321,1702,1,1601,103
14/03/2022,GRAN CANARIA,Las Palmas de Gran Canaria,379925,82081,406,78716,3515
14/03/2022,LA GOMERA,Alajeró,2017,198,1,184,13
14/03/2022,LA PALMA,Santa Cruz de La Palma,15716,656,4,516,139
14/03/2022,LA PALMA,Breña Baja,5690,171,1,153,18
14/03/2022,GRAN CANARIA,Agaete,5586,389,,370,19
14/03/2022,GRAN CANARIA,Agüimes,31619,1041,1,992,52
14/03/2022,TENERIFE,El Sauzal,8934,364,,357,13
14/03/2022,LANZAROTE,Haría,5123,122,,121,1
14/03/2022,EL HIERRO,El Pinar,1870,132,1,124,8
14/03/2022,TENERIFE,El Tanque,2763,183,,179,5
14/03/2022,GRAN CANARIA,Arucas,38138,820,,782,41
14/03/2022,EL HIERRO,Valverde,5005,1363,5,1311,56
14/03/2022,FUERTEVENTURA,Tuineje,15241,1490,,1484,6
14/03/2022,TENERIFE,Fasnia,2786,200,,191,12
14/03/2022,TENERIFE,Tegueste,11294,648,2,611,38
14/03/2022,TENERIFE,Adeje,47869,5559,11,5342,250
14/03/2022,GRAN CANARIA,Gáldar,24242,1205,1,1134,71
