geocode,geopadre,etiqueta,notas,granularidad,gcd_provincia,gcd_isla,gcd_grancomarca,gcd_comarca,ign_sup,ign_perim,utm_x,utm_y,longitud,latitud,utm_x_capi,utm_y_capi,long_capi,lati_capi
35001,ES705A22,Agaete,Ayuntamiento de Agaete,MUNICIPIOS,ES701,ES705,ES705A2,ES705A22,4451.16,41038,432237.32,3105495.86,-15.689645,28.073135,431360.28,3108387.71,-15.698739,28.099193
35002,ES705A32,Agüimes,Ayuntamiento de Agüimes,MUNICIPIOS,ES701,ES705,ES705A3,ES705A32,7889.72,55508,455417.29,3085973.99,-15.453004,27.897893,456117.58,3086639.88,-15.445914,27.903927
35003,ES704A01,Antigua,Ayuntamiento De Antigua,MUNICIPIOS,ES701,ES704,ES704A0,ES704A01,25024.8,79292,603336.94,3136732.92,-13.945579,28.352768,596564.74,3144502.79,-14.014024,28.423412
35004,ES708A01,Arrecife,Ayuntamiento De Arrecife,MUNICIPIOS,ES701,ES708,ES708A0,ES708A01,2427.54,36641,641157.78,3206510.34,-13.551117,28.978878,641613.1,3204338.91,-13.546719,28.959235
35005,ES705A23,Artenara,Ayuntamiento de Artenara,MUNICIPIOS,ES701,ES705,ES705A2,ES705A23,6641.9,50791,432859.41,3099392.63,-15.682966,28.018075,436451.97,3099620.39,-15.646436,28.020308
35006,ES705A10,Arucas,Ayuntamiento de Arucas,MUNICIPIOS,ES701,ES705,ES705A1,ES705A10,3283.87,38491,448820.77,3110505.21,-15.521094,28.119097,448399.3,3110439.81,-15.525382,28.118491
35007,ES704A01,Betancuria,Ayuntamiento De Betancuria,MUNICIPIOS,ES701,ES704,ES704A0,ES704A01,10370.9,51679,588427.21,3145727.58,-14.097009,28.435042,592275.71,3144614.7,-14.057803,28.424732
35008,ES705A21,Firgas,Ayuntamiento de Firgas,MUNICIPIOS,ES701,ES705,ES705A2,ES705A21,1602.78,24002,445018.28,3109572.62,-15.559765,28.110527,444667.32,3109268.25,-15.563323,28.107765
35009,ES705A22,Gáldar,Ayuntamiento de Gáldar,MUNICIPIOS,ES701,ES705,ES705A2,ES705A22,6254.51,63267,435602.32,3107995.04,-15.655537,28.095862,435857.83,3113495.26,-15.653237,28.145522
35010,ES708A02,Haría,Ayuntamiento De Haría,MUNICIPIOS,ES701,ES708,ES708A0,ES708A02,14565.3,119999,648331.62,3226751.23,-13.474817,29.160692,645917.68,3225102.16,-13.499847,29.146093
35011,ES705A32,Ingenio,Ayuntamiento de Ingenio,MUNICIPIOS,ES701,ES705,ES705A3,ES705A32,3908.81,44792,458318.23,3089476.73,-15.423652,27.929606,456346.94,3088370.48,-15.443647,27.919557
35012,ES705A31,Mogán,Ayuntamiento de Mogán,MUNICIPIOS,ES701,ES705,ES705A3,ES705A31,17142,77018,428179.47,3081067.79,-15.729456,27.852419,428753.45,3084550.59,-15.723836,27.883888
35013,ES705A22,Moya,Ayuntamiento de Moya,MUNICIPIOS,ES701,ES705,ES705A2,ES705A22,3220.46,43229,441675.46,3106542.23,-15.593646,28.083029,442702.84,3109616.24,-15.583339,28.110822
35014,ES704A02,La Oliva,Ayuntamiento De La Oliva,MUNICIPIOS,ES701,ES704,ES704A0,ES704A02,35533.4,117990,605220.36,3170839.08,-13.923243,28.660428,604828.43,3165280.89,-13.927763,28.610297
